编号,风险,级别,控制/退出条件,负责人
R-001,高危漏转,极高,停止试点；扩大规则/分类器验证；人工复盘,临床+安全
R-002,人工链路无值班,极高,不部署；排班和升级演练,机构
R-003,宣称漂移,高,统一词库和上架扫描,产品+法务
R-004,敏感数据泄漏,极高,最小化、加密、MFA、审计、渗透测试,安全
R-005,告警疲劳,高,误报预算、分层队列、抽检,临床+运营
R-006,用户依赖,高,任务导向、时长提醒、现实支持、退出,产品+临床
R-007,服务端宕机,高,离线脚本、电话入口、未送达提示,工程+运维
R-008,麦克风授权撤回后仍采集,高,OnPermissionsChangeListener监听+voice_features revoked consent+412校验,工程
R-009,群体画像再识别,中,聚合桶<5合并到other+不含用户ID+角色限制,工程
R-010,沙箱资源耗尽,中,超时120s+并发上限4(429)+速率限制10/h(429),工程
R-011,灰度回滚失效,中,feature flag前置依赖(410)+端侧拉取联动+batch-retire,工程
