编号,任务,优先级,v0.2状态,剩余外部门槛
EPIC-01,Android 工程底座,P0,源码与CI完成,Kotlin/AGP联网全量构建和真机矩阵
EPIC-02,身份、机构绑定与同意,P0,本地与后端版本化流程完成,机构 IAM/SSO/MFA 和正式同意签署
EPIC-03,L0 准入,P0,端到端完成,临床定稿题目/排除条件并演练
EPIC-04,每日签到,P0,完成,真机可用性与性能验证
EPIC-05,情绪日记,P1,创建/修订/删除完成,用户体验和真实保留期确认
EPIC-06,PHQ-9/GAD-7,P0,固定题目/计分/高风险旁路完成,版权/版本/临床签署和真机验证
EPIC-07,审核练习内容,P0,内容包与技术门禁完成,临床/安全/合规/质量四方签名
EPIC-08,个人趋势,P1,7/14/28日与稳健基线完成,试点数据校准和解释性测试
EPIC-09,本地安全引擎,P0,规则/固定脚本/650条合成回归完成,独立分类器/外部红队/真实语境验证
EPIC-10,人工接管,P0,状态机/SLA/工作台完成,真实通知通道/排班/接管演练
EPIC-11,加密与审计,P0,AES-GCM/审计链/生产预检完成,KMS/HSM/不可篡改存储/恢复演练
EPIC-12,机构最小工作台,P0,试点演示版完成,SSO/MFA/正式前端和权限验收
EPIC-13,测试与红队,P0,671测试/650合成安全集/CI完成,Android SDK/渗透/独立红队/值班演练
EPIC-14,发布与试点,P0,交付和治理材料完成,法人/机构/伦理/上架/招募
